Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCM,ACM,Change,Change_Percent,Direction
BCM_vs_ACM,Gamma,14,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4004406648406932,0.4046575258171205,0.004216860976427317,1.0530551331755744,Increase
BCM_vs_ACM,Gamma,14,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1834475.4342915807,1787410.0245287656,-47065.40976281511,-2.5656058883661395,Decrease
BCM_vs_ACM,Gamma,14,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3062192949510565,1.3096437727929655,0.003424477841909024,0.26216714568110383,Increase
BCM_vs_ACM,Gamma,14,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6764427179440047,0.674487230013192,-0.0019554879308126827,-0.2890840390382554,Decrease
BCM_vs_ACM,Gamma,14,AF8,EN,Entropy,RAW_AF8_EN,5.4087497838818495,5.402170583083195,-0.006579200798654483,-0.1216399549163948,Decrease
BCM_vs_ACM,Gamma,14,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,709558.3130120748,675577.002797932,-33981.31021414278,-4.789079289324668,Decrease
BCM_vs_ACM,Gamma,14,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4047062272146186,0.3976271838708046,-0.007079043343813984,-1.7491807310540637,Decrease
BCM_vs_ACM,Gamma,14,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1787825.349666122,1736566.0720054563,-51259.2776606658,-2.8671300398687443,Decrease
BCM_vs_ACM,Gamma,14,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.306939320782014,1.3093339458499933,0.0023946250679793835,0.1832238903445454,Increase
BCM_vs_ACM,Gamma,14,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.678124530355217,0.6731473301790123,-0.004977200176204732,-0.7339655112605293,Decrease
BCM_vs_ACM,Gamma,14,TP10,EN,Entropy,RAW_TP10_EN,5.409726383039741,5.414728509986715,0.005002126946973995,0.09246543342111296,Increase
BCM_vs_ACM,Gamma,14,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,644111.3242347349,669674.1269783963,25562.80274366145,3.968693264946471,Increase
BCM_vs_ACM,Gamma,14,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4011933706042643,0.3904974044270782,-0.0106959661771861,-2.6660376169915736,Decrease
BCM_vs_ACM,Gamma,14,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1643903.2103664284,1712478.4610500247,68575.25068359636,4.171489553105188,Increase
BCM_vs_ACM,Gamma,14,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3160395528867728,1.3259448709171706,0.009905318030397847,0.7526611193919082,Increase
BCM_vs_ACM,Gamma,14,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.670533633332011,0.665490705619707,-0.005042927712303968,-0.7520767731283944,Decrease
BCM_vs_ACM,Gamma,14,TP9,EN,Entropy,RAW_TP9_EN,5.408502870308953,5.406748330655828,-0.001754539653124887,-0.03244039423103165,Decrease
