Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,9,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3949865415458153,0.3792682634854968,-0.015718278060318502,-3.97944648919014,Decrease
BF_vs_AF,Gamma,9,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,2216416.4470442897,2039514.8196418688,-176901.62740242085,-7.981425496022133,Decrease
BF_vs_AF,Gamma,9,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3181230631669223,1.3348618302151507,0.01673876704822841,1.269894102908104,Increase
BF_vs_AF,Gamma,9,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6678289735406572,0.655530237323422,-0.012298736217235207,-1.8415996766403344,Decrease
BF_vs_AF,Gamma,14,AF7,EN,Entropy,RAW_AF7_EN,5.413929056962397,5.407157876232947,-0.006771180729449711,-0.12506962426376583,Decrease
BF_vs_AF,Gamma,14,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,650884.0323510701,728252.6194505093,77368.58709943923,11.886693059587703,Increase
BF_vs_AF,Gamma,14,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3828731847039615,0.3919542853024268,0.009081100598465341,2.37182988030015,Increase
BF_vs_AF,Gamma,14,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1734168.62809873,1850252.2199659536,116083.59186722361,6.693904501922216,Increase
BF_vs_AF,Gamma,14,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3171810640242487,1.313888884892925,-0.003292179131323625,-0.24994127392519344,Decrease
BF_vs_AF,Gamma,14,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6673279365850924,0.6701935173348073,0.00286558074971488,0.42941117741584073,Increase
BF_vs_AF,Gamma,14,AF8,EN,Entropy,RAW_AF8_EN,5.411767751378347,5.396327353663552,-0.015440397714795218,-0.2853115363434182,Decrease
BF_vs_AF,Gamma,14,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,682875.8245234743,688696.6934360513,5820.868912576931,0.8524051816651821,Increase
BF_vs_AF,Gamma,14,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4011334685819618,0.3967550219844135,-0.0043784465975483244,-1.0915186441626212,Decrease
BF_vs_AF,Gamma,14,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1698023.550913037,1709868.364877648,11844.81396461092,0.6975647633533643,Increase
BF_vs_AF,Gamma,14,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.312644254657395,1.3078587325786624,-0.004785522078732729,-0.36457113660104107,Decrease
BF_vs_AF,Gamma,14,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6749070065070533,0.6724896450149924,-0.0024173614920608433,-0.3581769738281092,Decrease
BF_vs_AF,Gamma,14,TP10,EN,Entropy,RAW_TP10_EN,5.414278481098913,5.420900275622586,0.0066217945236726194,0.12230243691360003,Increase
BF_vs_AF,Gamma,14,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,678663.411124988,644476.909634647,-34186.501490341034,-5.037327919840514,Decrease
BF_vs_AF,Gamma,14,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3848404814621819,0.3904428431479048,0.0056023616857228675,1.4557620509248348,Increase
