Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCF,ACF,Change,Change_Percent,Direction
BCF_vs_ACF,Gamma,14,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4032522281296665,0.3954495645219538,-0.007802663607712701,-1.934933786702783,Decrease
BCF_vs_ACF,Gamma,14,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1570109.163351241,1694725.0882460475,124615.92489480646,7.93676820717524,Increase
BCF_vs_ACF,Gamma,14,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3021457110256085,1.311666248825841,0.009520537800232542,0.7311422769064674,Increase
BCF_vs_ACF,Gamma,14,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6760754912667348,0.6693661293158412,-0.006709361950893666,-0.9923983397656689,Decrease
BCF_vs_ACF,Gamma,14,TP10,EN,Entropy,RAW_TP10_EN,5.405282132354049,5.403195809519848,-0.002086322834201404,-0.03859785267661489,Decrease
BCF_vs_ACF,Gamma,14,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,866805.473571109,736420.3957981353,-130385.07777297369,-15.042022893072726,Decrease
BCF_vs_ACF,Gamma,14,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3880709902403501,0.3939045467014793,0.005833556461129208,1.5032188975311502,Increase
BCF_vs_ACF,Gamma,14,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,2279028.242417916,1916597.110911314,-362431.1315066023,-15.90288021714395,Decrease
BCF_vs_ACF,Gamma,14,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3277870791344788,1.3152565826067772,-0.012530496527701551,-0.9437127928575406,Decrease
BCF_vs_ACF,Gamma,14,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.663565185288086,0.6721272362758081,0.008562050987722114,1.2903104589498484,Increase
BCF_vs_ACF,Gamma,14,TP9,EN,Entropy,RAW_TP9_EN,5.400363273140924,5.405242937696734,0.004879664555810237,0.09035807979954946,Increase
BCF_vs_ACF,Gamma,14,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,813404.4590115864,780737.0684243395,-32667.39058724686,-4.016131240163454,Decrease
BCF_vs_ACF,Gamma,14,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3806813640432363,0.3917527193367234,0.011071355293487073,2.90829978538945,Increase
BCF_vs_ACF,Gamma,14,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,2142081.562074115,2009503.712578652,-132577.84949546307,-6.189206416915882,Decrease
BCF_vs_ACF,Gamma,14,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3301070203508008,1.322445787267606,-0.007661233083194663,-0.5759862150922337,Decrease
BCF_vs_ACF,Gamma,14,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6608018354584807,0.665417026470378,0.004615191011897335,0.6984228499751671,Increase
BCF_vs_ACF,Gamma,16,AF7,EN,Entropy,RAW_AF7_EN,5.412696006329889,5.397641856595586,-0.015054149734303301,-0.2781266436670043,Decrease
BCF_vs_ACF,Gamma,16,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,801448.2555418339,993805.3613080068,192357.10576617287,24.001188403127323,Increase
BCF_vs_ACF,Gamma,16,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3737985022733442,0.3884777197133133,0.014679217439969083,3.927040196976163,Increase
BCF_vs_ACF,Gamma,16,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,2224856.1294866386,2601587.38649485,376731.2570082112,16.932836780557935,Increase
BCF_vs_ACF,Gamma,16,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3417440415376538,1.3177179252898612,-0.024026116247792606,-1.7906631595887994,Decrease
BCF_vs_ACF,Gamma,16,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6524596480022055,0.6643645952926767,0.011904947290471202,1.824625833478511,Increase
BCF_vs_ACF,Gamma,16,AF8,EN,Entropy,RAW_AF8_EN,5.408392595416777,5.407587582922311,-0.0008050124944665171,-0.014884505521080461,Decrease
BCF_vs_ACF,Gamma,16,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,649967.9320891085,861776.1584368094,211808.22634770093,32.587488688390046,Increase
BCF_vs_ACF,Gamma,16,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.377969100567598,0.3850072006202959,0.007038100052697893,1.8620834460088787,Increase
BCF_vs_ACF,Gamma,16,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1756107.486443845,2272171.818967208,516064.3325233627,29.386830618688602,Increase
BCF_vs_ACF,Gamma,16,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3444785593903164,1.3348634007971911,-0.009615158593125228,-0.7151589384575561,Decrease
BCF_vs_ACF,Gamma,16,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6563687720044836,0.6584079844186388,0.002039212414155167,0.31068090090995937,Increase
BCF_vs_ACF,Gamma,16,TP10,EN,Entropy,RAW_TP10_EN,5.40629910075178,5.411540287418813,0.005241186667032771,0.09694592491754574,Increase
BCF_vs_ACF,Gamma,16,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,662834.3952546035,740711.0492670666,77876.65401246317,11.749036346031758,Increase
BCF_vs_ACF,Gamma,16,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3730021170862108,0.3771331812728888,0.004131064186678024,1.1075176245509684,Increase
BCF_vs_ACF,Gamma,16,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1827067.51849412,1951121.50334336,124053.98484923993,6.789786561992299,Increase
BCF_vs_ACF,Gamma,16,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.347452521510205,1.3432323173273784,-0.004220204182826537,-0.3131987298592602,Decrease
BCF_vs_ACF,Gamma,16,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6530001468312272,0.65689228149447,0.0038921346632427856,0.5960388649420529,Increase
BCF_vs_ACF,Gamma,16,TP9,EN,Entropy,RAW_TP9_EN,5.407225158281156,5.40834399556495,0.0011188372837942495,0.02069152386008473,Increase
BCF_vs_ACF,Gamma,16,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,736166.3394738751,800618.1242621482,64451.78478827304,8.755057292396115,Increase
BCF_vs_ACF,Gamma,16,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3916876729751433,0.3749755098197594,-0.016712163155383875,-4.266706436902455,Decrease
BCF_vs_ACF,Gamma,16,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1878677.606000882,2188247.1908356952,309569.58483481314,16.478057961940053,Increase
BCF_vs_ACF,Gamma,16,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3302893274570484,1.3415662457254136,0.011276918268365188,0.8477041825120777,Increase
BCF_vs_ACF,Gamma,16,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6653623785057172,0.6525001055505065,-0.012862272955210696,-1.9331229673816275,Decrease
BCF_vs_ACF,Gamma,22,AF7,EN,Entropy,RAW_AF7_EN,5.405084797294908,5.405766046874566,0.0006812495796584273,0.012603864790416858,Increase
